"date","city_name","industry_name","detection_count"
"2023-04-23","Dhaka","Manufacturing",1
"2023-04-23","Dhule","Government",4
"2023-04-23","Dhule","Automobiles",6
"2023-04-23","Dombivali","IT/ITES",2
"2023-04-23","Dombivali","Manufacturing",1
"2023-04-23","Dubai","IT/ITES",2
"2023-04-23","Dubai","Professional Services",6
"2023-04-23","Eluru","Manufacturing",1
"2023-04-23","Ernakulam","Professional Services",4
"2023-04-23","Ernakulam","IT/ITES",1
"2023-04-23","Ernakulam","Manufacturing",3
"2023-04-23","Ernakulam","BFSI",5
"2023-04-23","Ernakulam","Automobiles",9
"2023-04-23","Ernakulam","Hospitality & Healthcare",24
"2023-04-23","Erode","Professional Services",2
"2023-04-23","Etah","Manufacturing",2
"2023-04-23","Faizabad","Professional Services",1
"2023-04-23","Faridabad","Hospitality & Healthcare",6
"2023-04-23","Faridabad","Manufacturing",2
"2023-04-23","Faridabad","Automobiles",5
"2023-04-23","Faridabad","Professional Services",20
"2023-04-23","Gaborone","Manufacturing",1
"2023-04-23","Gandhidham","Manufacturing",2
"2023-04-23","Gandhidham","Professional Services",1
"2023-04-23","Gandhidham","Government",38
"2023-04-23","Gandhinagar","Professional Services",9
"2023-04-23","Gandhinagar","Manufacturing",167
"2023-04-23","General Mariano Alvarez","Professional Services",3
"2023-04-23","Ghaziabad","Hospitality & Healthcare",1
"2023-04-23","Ghaziabad","Manufacturing",1
"2023-04-23","Ghaziabad","Government",27
"2023-04-23","Ghaziabad","Professional Services",19
"2023-04-23","Ghazipur","Education",13
"2023-04-23","Godhra","Professional Services",4
"2023-04-23","Gondal","Manufacturing",6
"2023-04-23","Gorakhpur","Hospitality & Healthcare",5
"2023-04-23","Greater Noida","Education",4
"2023-04-23","Greater Noida","Professional Services",10
"2023-04-23","Guntur","Education",2
"2023-04-23","Gurgaon","Automobiles",2
"2023-04-23","Gurgaon","BFSI",1
"2023-04-23","Gurgaon","IT/ITES",2
"2023-04-23","Gurgaon","Government",9
"2023-04-23","Gurgaon","Hospitality & Healthcare",7
"2023-04-23","Gurgaon","Education",8
"2023-04-23","Gurgaon","Manufacturing",10
"2023-04-23","Gurgaon","Professional Services",90
"2023-04-23","Guwahati","Government",3
"2023-04-23","Guwahati","Professional Services",3
"2023-04-23","Guwahati","Media & Entertainment",1
"2023-04-23","Guwahati","Manufacturing",8
"2023-04-23","Halol","Manufacturing",66
"2023-04-23","Hamtic","Professional Services",1
"2023-04-23","Hanamkonda","Hospitality & Healthcare",1
"2023-04-23","Haridwar","Education",104
"2023-04-23","Himatnagar","Manufacturing",6
"2023-04-23","Hisar","Government",5
"2023-04-23","Hosur","Professional Services",5
"2023-04-23","Hubli","Media & Entertainment",14
"2023-04-23","Hwaseong-si","Professional Services",2
"2023-04-23","Hyderabad","BFSI",6
"2023-04-23","Hyderabad","Automobiles",2
"2023-04-23","Hyderabad","IT/ITES",167
"2023-04-23","Hyderabad","Professional Services",76
"2023-04-23","Hyderabad","Media & Entertainment",122
"2023-04-23","Hyderabad","Education",12
"2023-04-23","Hyderabad","Government",74
"2023-04-23","Hyderabad","Manufacturing",38
"2023-04-23","Hyderabad","Hospitality & Healthcare",679
"2023-04-23","Ichalkaranji","Manufacturing",2
"2023-04-23","Ichalkaranji","Education",2
"2023-04-23","Imphal","Education",3
"2023-04-23","Incheon","Professional Services",2
"2023-04-23","Indore","Education",1
"2023-04-23","Indore","Professional Services",9
"2023-04-23","Indore","Strategic & Public Enterprises",5
"2023-04-23","Indore","IT/ITES",2
"2023-04-23","Indore","Media & Entertainment",2
"2023-04-23","Indore","Manufacturing",13
"2023-04-23","Indore","Government",11
"2023-04-23","Jabalpur","Government",7
"2023-04-23","Jaipur","Education",13
"2023-04-23","Jaipur","Manufacturing",9
"2023-04-23","Jaipur","Professional Services",27
"2023-04-23","Jaipur","Hospitality & Healthcare",9
"2023-04-23","Jaipur","Government",19
"2023-04-23","Jaipur","Strategic & Public Enterprises",186
"2023-04-23","Jalandhar","Professional Services",19
"2023-04-23","Jalandhar","Government",54
"2023-04-23","Jalgaon","Manufacturing",69
"2023-04-23","Jalna","Hospitality & Healthcare",11
"2023-04-23","Jalpaiguri","Education",8
"2023-04-23","Jammu","Professional Services",1
"2023-04-23","Jammu","Government",2
"2023-04-23","Jammu","Strategic & Public Enterprises",4
"2023-04-23","Jammu","Hospitality & Healthcare",5
"2023-04-23","Jammu","Education",9
"2023-04-23","Jamnagar","Manufacturing",6
"2023-04-23","Jamshedpur","Professional Services",1
"2023-04-23","Jaspur","Professional Services",8
"2023-04-23","Jaspur","Manufacturing",16
"2023-04-23","Jhansi","Government",3
"2023-04-23","Jharsuguda","Government",1
"2023-04-23","Jharsuguda","Telecom",1
"2023-04-23","Jharsuguda","Education",5
"2023-04-23","Jinnaram","Professional Services",63
"2023-04-23","Jodhpur","Manufacturing",1
"2023-04-23","Jodhpur","Strategic & Public Enterprises",30
"2023-04-23","Johannesburg","Professional Services",2
"2023-04-23","Juliaca","Professional Services",2
"2023-04-23","Kalpakkam","Government",1
"2023-04-23","Kalyan","Manufacturing",1
"2023-04-23","Kanhangad","Professional Services",1
"2023-04-23","Kannauj","Hospitality & Healthcare",1
"2023-04-23","Kanpur","Professional Services",1
"2023-04-23","Kanpur","Media & Entertainment",1
"2023-04-23","Kanpur","Logistic",2
"2023-04-23","Kapurthala Town","Education",4
"2023-04-23","Karaikudi","Government",59
"2023-04-23","Karimnagar","Government",9
"2023-04-23","Karimnagar","Media & Entertainment",2
"2023-04-23","Karnal","Education",1
"2023-04-23","Kashipur","Professional Services",14
"2023-04-23","Kathlal","Manufacturing",2
"2023-04-23","Kharar","Professional Services",3
"2023-04-23","Kheda","Manufacturing",2
